Country,Region,Population,Income Group,CO2 emissions (metric tons per capita),"% Literacy, adult female","% Literacy, adult male","% Primary completion, female","% Primary completion, male","% Lower secondary completion, female","% Lower secondary completion, male",% Parliament seats held by women
Israel,Middle East & North Africa,8546000,High income,7.625351861,,,103.7975998,103.371582,103.3257675,101.8521271,26.66666667
Italy,Europe & Central Asia,60627498,High income,0,,,97.47013855,98.01230621,99.57495117,98.25061035,30.95238095
Jamaica,Latin America & Caribbean,2906238,Upper middle income,2.830147084,,,85.81449127,86.02207184,,,17.46031746
Japan,East Asia & Pacific,126994511,High income,8.944372824,,,,,,,9.473684211
Jordan,Middle East & North Africa,9551467,Upper middle income,2.628700806,,,72.09249115,72.03981781,,,15.38461538
Kazakhstan,Europe & Central Asia,17794055,Upper middle income,13.89268146,,,110.0031967,110.5788727,116.8868103,116.4868622,27.10280374
Kenya,Sub-Saharan Africa,49051686,Lower middle income,0.36511748,,,100.0846176,99.27902985,79.01554108,79.38321686,19.71428571
Kiribati,East Asia & Pacific,112524,Lower middle income,0.58659486,,,103.1774063,98.62895966,98.70388794,90.5405426,6.52173913
"Korea, Dem. People's Rep.",East Asia & Pacific,25307744,Low income,1.117585629,,,,,,,16.30276565
"Korea, Rep.",East Asia & Pacific,51217803,High income,12.11106978,,,97.8969574,98.12561798,103.0047913,103.5304565,17
Kosovo,Europe & Central Asia,1777557,Upper middle income,5.031519664,,,,,,,
Kuwait,Middle East & North Africa,3956875,High income,24.95251303,,,104.2695313,97.23213196,93.89849854,85.51080322,2
Kyrgyz Republic,Europe & Central Asia,6079500,Lower middle income,1.609873016,,,101.4136124,102.1439514,90.13841248,90.40801239,19.16666667
Lao PDR,East Asia & Pacific,6845846,Lower middle income,2.594704584,,,98.35605621,101.0667191,64.11221313,68.93904114,27.51677852
Latvia,Europe & Central Asia,1959537,High income,3.574298418,,,97.98879242,98.12654114,96.30864716,96.12162018,18
Lebanon,Middle East & North Africa,6711121,Upper middle income,3.694800615,,,,,,,3.125
Lesotho,Sub-Saharan Africa,2075001,Lower middle income,1.210551224,,,93.52546692,77.69143677,55.48978043,38.41521072,25
Liberia,Sub-Saharan Africa,4586788,Low income,0.302199709,,,,,,,10.95890411
Libya,Middle East & North Africa,6492164,Upper middle income,7.788506729,,,,,,,15.95744681
Liechtenstein,Europe & Central Asia,37658,High income,1.363269425,,,103.0927811,97.53694916,97.51244354,94.39251709,20
Lithuania,Europe & Central Asia,2868231,High income,4.519456418,,,102.0637207,101.7240067,100.9722519,101.653801,21.27659574
Luxembourg,Europe & Central Asia,582014,High income,15.44261306,,,79.70628357,78.47901917,100.7966919,96.77224731,28.33333333
"Macao SAR, China",East Asia & Pacific,612836,High income,3.37478216,95.03256989,98.18592072,96.47847748,99.84342194,96.59456635,95.24624634,
